,Accuracy,Lambda ESM,Genes,Cells,Strains,Tissue depth,Output gene fraction,Output cell fraction,Output strain fraction,Output cells random,In degree,Input fraction,Input signal depth,ESMs,Secretion low,Secretion high,ESM threshold,Cell radius,Voxel length,Timesteps,Warmup timesteps,Delay,Function,Window size,Kappa,Summary,Source dist,Reuse,Auxiliary,Lasso weights,Output,Threads,System
88,0.7544642857142857,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
89,0.6473214285714286,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
90,0.5580357142857143,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
91,0.6875,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
92,0.5401785714285714,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
93,0.6071428571428571,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
94,0.5446428571428571,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
95,0.5535714285714286,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
96,0.8214285714285714,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
97,0.6964285714285714,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
98,0.7544642857142857,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
99,0.5669642857142857,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,Unicellular
100,0.7892376681614349,15.0,100,1,10,0,1.0,1.0,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,0,median,9,False,False,1,False,False,False,output,19,Unicellular
